Accepted Symbol,Scientific Name,Common Name
AVSA,Avena sativa L.,common oat
AXCO,Axonopus compressus (Sw.) P. Beauv.,broadleaf carpetgrass
AXFI,Axonopus fissifolius (Raddi) Kuhlm.,common carpetgrass
AXFU,Axonopus furcatus (Flueggé) Hitchc.,big carpetgrass
AZCA,Azolla caroliniana Willd.,Carolina mosquitofern
BAAN,Baccharis angustifolia Michx.,saltwater false willow
BAGL,Baccharis glomeruliflora Pers.,silverling
BAHA,Baccharis halimifolia L.,eastern baccharis
BACA,Bacopa caroliniana (Walter) B.L. Rob.,blue waterhyssop
BAIN2,Bacopa innominata (G. Maza) Alain,tropical waterhyssop
BAMO,Bacopa monnieri (L.) Pennell,herb of grace
BAAN3,Balduina angustifolia (Pursh) B.L. Rob.,coastal plain honeycombhead
BAAT,Balduina atropurpurea Harper,purpledisk honeycombhead
BAUN,Balduina uniflora Nutt.,oneflower honeycombhead
BAFU,Baptisia ×fulva Larisey [alba × perfoliata],wild indigo
BASE3,Baptisia ×serenae M.A. Curtis (pro sp.) [albescens × tinctoria],wild indigo
BAAL,Baptisia alba (L.) Vent.,white wild indigo
BAALA,Baptisia alba (L.) Vent. var. alba ,white wild indigo
BAAL3,Baptisia albescens Small,spiked wild indigo
BAAR,Baptisia arachnifera Duncan,cobwebby wild indigo
BAAU,Baptisia australis (L.) R. Br.,blue wild indigo
BAAUA2,Baptisia australis (L.) R. Br. var. aberrans (Larisey) M. Mendenhall,blue wild indigo
BAAUA,Baptisia australis (L.) R. Br. var. australis ,blue wild indigo
BABR2,Baptisia bracteata Muhl. ex Elliott,longbract wild indigo
BABRB,Baptisia bracteata Muhl. ex Elliott var. bracteata ,longbract wild indigo
BACI,Baptisia cinerea (Raf.) Fernald & B.G. Schub.,grayhairy wild indigo
BALA3,Baptisia lanceolata (Walter) Elliott,gopherweed
BALAL,Baptisia lanceolata (Walter) Elliott var. lanceolata ,gopherweed
BALAT,Baptisia lanceolata (Walter) Elliott var. tomentosa (Larisey) Isely,tomentose gopherweed
BALE4,Baptisia lecontei Torr. & A. Gray,pineland wild indigo
BAME,Baptisia megacarpa Chapm. ex Torr. & A. Gray,Apalachicola wild indigo
BAPE3,Baptisia perfoliata (L.) R. Br.,catbells
BATI,Baptisia tinctoria (L.) R. Br.,horseflyweed
BAVE,Barbarea verna (Mill.) Asch.,early yellowrocket
BAVU,Barbarea vulgaris W.T. Aiton,garden yellowrocket
BAPA2,Bartonia paniculata (Michx.) Muhl.,twining screwstem
BAPAP,Bartonia paniculata (Michx.) Muhl. ssp. paniculata ,twining screwstem
BAVE2,Bartonia verna (Michx.) Raf. ex Barton,white screwstem
BAVI3,"Bartonia virginica (L.) Britton, Sterns & Poggenb.",yellow screwstem
BAMA5,Batis maritima L.,turtleweed
BECU,Begonia cucullata Willd.,clubed begonia
BERA3,Bejaria racemosa Vent.,flyweed
BECH,Belamcanda chinensis (L.) DC.,blackberry lily
BECA2,Berberis canadensis Mill.,American barberry
BETH,Berberis thunbergii DC.,Japanese barberry
BESC,Berchemia scandens (Hill) K. Koch,Alabama supplejack
BEPU2,Berlandiera pumila (Michx.) Nutt.,soft greeneyes
BEPUP3,Berlandiera pumila (Michx.) Nutt. var. pumila ,soft greeneyes
BEAL2,Betula alleghaniensis Britton,yellow birch
BEALA,Betula alleghaniensis Britton var. alleghaniensis ,yellow birch
BELE,Betula lenta L.,sweet birch
BENI,Betula nigra L.,river birch
BEPU5,Betula pubescens Ehrh.,downy birch
BEPUP5,Betula pubescens Ehrh. ssp. pubescens ,downy birch
BIAL,Bidens alba (L.) DC.,romerillo
BIALR,Bidens alba (L.) DC. var. radiata (Sch. Bip.) Ballard ex T.E. Melchert,romerillo
BIAR,Bidens aristosa (Michx.) Britton,bearded beggarticks
BIBI7,Bidens bipinnata L.,Spanish needles
BICE,Bidens cernua L.,nodding beggartick
BICO5,Bidens connata Muhl. ex Willd.,purplestem beggarticks
BICO,Bidens coronata (L.) Britton,crowned beggarticks
BIDI,Bidens discoidea (Torr. & A. Gray) Britton,small beggarticks
BIFR,Bidens frondosa L.,devil's beggartick
BILA,"Bidens laevis (L.) Britton, Sterns & Poggenb.",smooth beggartick
BIMI,Bidens mitis (Michx.) Sherff,smallfruit beggarticks
BIPI,Bidens pilosa L.,hairy beggarticks
BITR,Bidens tripartita L.,threelobe beggarticks
BIVU,Bidens vulgata Greene,big devils beggartick
BINU,Bigelowia nudata (Michx.) DC.,pineland rayless goldenrod
BINUN,Bigelowia nudata (Michx.) DC. ssp. nudata ,pineland rayless goldenrod
BINU2,Bigelowia nuttallii L.C. Anderson,Nuttall's rayless goldenrod
BICA,Bignonia capreolata L.,crossvine
BLOC,Blechnum occidentale L.,hammock fern
BLCI,Blephilia ciliata (L.) Benth.,downy pagoda-plant
BLHI,Blephilia hirsuta (Pursh) Benth.,hairy pagoda-plant
BLHIH,Blephilia hirsuta (Pursh) Benth. var. hirsuta ,hairy pagoda-plant
BOCY,Boehmeria cylindrica (L.) Sw.,smallspike false nettle
BONI2,Boehmeria nivea (L.) Gaudich.,Chinese grass
BOCO,Boerhavia coccinea Mill.,scarlet spiderling
BODI3,Boerhavia diffusa L.,red spiderling
BOER,Boerhavia erecta L.,erect spiderling
BONO,Bolboschoenus novae-angliae (Britton) S.G. Sm.,New England bulrush
BORO5,Bolboschoenus robustus (Pursh) Soják,sturdy bulrush
BOAS,Boltonia asteroides (L.) L'Hér.,white doll's daisy
BOASA,Boltonia asteroides (L.) L'Hér. var. asteroides ,white doll's daisy
BOCA2,Boltonia caroliniana (Walter) Fernald,Carolina doll's daisy
BODI,Boltonia diffusa Elliott,smallhead doll's daisy
BODID,Boltonia diffusa Elliott var. diffusa ,smallhead doll's daisy
BOFR,Borrichia frutescens (L.) DC.,bushy seaside tansy
BOHY,Bothriochloa hybrida (Gould) Gould,hybrid beardgrass
BOIS,Bothriochloa ischaemum (L.) Keng,yellow bluestem
BOLA2,Bothriochloa laguroides (DC.) Herter,silver beardgrass
BOLAT,Bothriochloa laguroides (DC.) Herter ssp. torreyana (Steud.) Allred & Gould,silver beardgrass
BOBI,Botrychium biternatum (Sav.) Underw.,sparselobe grapefern
BODI2,Botrychium dissectum Spreng.,cutleaf grapefern
BOJE,Botrychium jenmanii Underw.,Dixie grapefern
BOLU2,Botrychium lunarioides (Michx.) Sw.,winter grapefern
BOVI,Botrychium virginianum (L.) Sw.,rattlesnake fern
BOCU,Bouteloua curtipendula (Michx.) Torr.,sideoats grama
BOCUC2,Bouteloua curtipendula (Michx.) Torr. var. curtipendula ,sideoats grama
BODA2,Bouteloua dactyloides (Nutt.) J.T. Columbus,buffalograss
BOHI2,Bouteloua hirsuta Lag.,hairy grama
BOHIH,Bouteloua hirsuta Lag. var. hirsuta ,hairy grama
BOAC,Boykinia aconitifolia Nutt.,Allegheny brookfoam
BRAR9,Brachyelytrum aristosum (Michx.) Trel.,northern shorthusk
BRER2,Brachyelytrum erectum (Schreb. ex Spreng.) P. Beauv.,bearded shorthusk
BRSC,Brasenia schreberi J.F. Gmel.,watershield
BRJU,Brassica juncea (L.) Czern.,brown mustard
BRNA,Brassica napus L.,rape
BROL,Brassica oleracea L.,cabbage
BRRA,Brassica rapa L.,field mustard
BRRAR,Brassica rapa L. var. rapa ,field mustard
BRCO8,Brickellia cordifolia Elliott,Flyr's brickellbush
BREU,Brickellia eupatorioides (L.) Shinners,false boneset
BREUE,Brickellia eupatorioides (L.) Shinners var. eupatorioides ,false boneset
BRMA,Briza maxima L.,big quakinggrass
BRMI2,Briza minor L.,little quakinggrass
BRAR5,Bromus arvensis L.,field brome
BRCA6,Bromus catharticus Vahl,rescuegrass
BRDI3,Bromus diandrus Roth,ripgut brome
BRDIR,Bromus diandrus Roth ssp. rigidus (Roth) Lainz,ripgut brome
BRIN2,Bromus inermis Leyss.,smooth brome
BRINI,Bromus inermis Leyss. ssp. inermis ,smooth brome
BRINI2,Bromus inermis Leyss. ssp. inermis var. inermis ,smooth brome
BRNO,Bromus nottowayanus Fernald,Nottoway Valley brome
BRPU6,Bromus pubescens Muhl. ex Willd.,hairy woodland brome
BRRA2,Bromus racemosus L.,bald brome
BRSE,Bromus secalinus L.,rye brome
BRSES,Bromus secalinus L. var. secalinus ,rye brome
BRTE,Bromus tectorum L.,cheatgrass
BRPA4,Broussonetia papyrifera (L.) L'Hér. ex Vent.,paper mulberry
BRVE9,Brugmansia versicolor Lagerh.,arborescent angel's-tears
BROV4,Brunnichia ovata (Walter) Shinners,American buckwheat vine
BUAM,Buchnera americana L.,American bluehearts
BULO,Buchnera longifolia Kunth,elongated bluehearts
BUDA2,Buddleja davidii Franch.,orange eye butterflybush
BULI,Buddleja lindleyana Fortune,Lindley's butterflybush
BUOF,Buddleja officinalis Maxim.,pole butterflybush
BUAR3,Buglossoides arvensis (L.) I.M. Johnst.,corn gromwell
BUBA,Bulbostylis barbata (Rottb.) C.B. Clarke,watergrass
BUCA2,Bulbostylis capillaris (L.) Kunth ex C.B. Clarke,densetuft hairsedge
BUCAC,Bulbostylis capillaris (L.) Kunth ex C.B. Clarke ssp. capillaris ,densetuft hairsedge
BUCI,Bulbostylis ciliatifolia (Elliott) Fernald,capillary hairsedge
BUCIC2,Bulbostylis ciliatifolia (Elliott) Fernald var. ciliatifolia ,capillary hairsedge
BUCIC,Bulbostylis ciliatifolia (Elliott) Fernald var. coarctata (Elliott) Kral,capillary hairsedge
BUST,Bulbostylis stenophylla (Elliott) C.B. Clarke,sandy field hairsedge
BUWA,Bulbostylis warei (Torr.) C.B. Clarke,Ware's hairsedge
BURO,Bupleurum rotundifolium L.,hare's ear
BUBI,Burmannia biflora L.,northern bluethread
BUCA3,Burmannia capitata (J.F. Gmel.) Mart.,southern bluethread
CACA,Cabomba caroliniana A. Gray,Carolina fanwort
CACAC4,Cabomba caroliniana A. Gray var. caroliniana ,Carolina fanwort
CACAP,Cabomba caroliniana A. Gray var. pulcherrima Harper,Carolina fanwort
CAGI,Caesalpinia gilliesii (Wall. ex Hook.) Wall. ex D. Dietr.,bird-of-paradise shrub
CAED,Cakile edentula (Bigelow) Hook.,American searocket
CAEDH,Cakile edentula (Bigelow) Hook. ssp. harperi (Small) Rodman,Harper's searocket
CACA4,Calamagrostis canadensis (Michx.) P. Beauv.,bluejoint
CACAC10,Calamagrostis canadensis (Michx.) P. Beauv. var. canadensis ,bluejoint
CACAL3,Calamagrostis canadensis (Michx.) P. Beauv. var. langsdorffii (Link) Inman,bluejoint
CACO71,Calamagrostis coarctata Eaton,Nuttall's reedgrass
CAPO3,Calamagrostis porteri A. Gray,Porter's reedgrass
CAPOI,Calamagrostis porteri A. Gray ssp. insperata (Swallen) C.W. Greene,Porter's reedgrass
CANE17,Calamintha nepeta (L.) Savi,lesser calamint
CANEG,Calamintha nepeta (L.) Savi ssp. glandulosa (Riquien) P.W. Ball,lesser calamint
CANEN,Calamintha nepeta (L.) Savi ssp. nepeta ,lesser calamint
CAAM2,Callicarpa americana L.,American beautyberry
CAPA2,Callirhoe papaver (Cav.) A. Gray,woodland poppymallow
CATR,Callirhoe triangulata (Leavenworth) A. Gray,clustered poppymallow
CACO19,Callisia cordifolia (Sw.) E.S. Anderson & Woodson,Florida roseling
CAGR25,Callisia graminea (Small) G. Tucker,grassleaf roseling
CARO18,Callisia rosea (Vent.) D.R. Hunt,Piedmont roseling
CAHE3,Callitriche heterophylla Pursh,twoheaded water-starwort
CAHEH,Callitriche heterophylla Pursh ssp. heterophylla ,twoheaded water-starwort
CAPE44,Callitriche pedunculosa Nutt.,Nuttall's water-starwort
CAPE16,Callitriche peploides Nutt.,matted water-starwort
CATE19,Callitriche terrestris Raf.,terrestrial water-starwort
CABA,Calopogon barbatus (Walter) Ames,bearded grasspink
CAMU10,Calopogon multiflorus Lindl.,manyflower grasspink
CAOK2,Calopogon oklahomensis D.H. Goldman,Oklahoma grasspink
CAPA4,Calopogon pallidus Chapm.,pale grasspink
CATU5,"Calopogon tuberosus (L.) Britton, Sterns & Poggenb.",tuberous grasspink
CATUT,"Calopogon tuberosus (L.) Britton, Sterns & Poggenb. var. tuberosus ",tuberous grasspink
CABR47,Calycanthus brockianus Ferry & Ferry,Georgia sweetshrub
CAFL22,Calycanthus floridus L.,eastern sweetshrub
CAFLF,Calycanthus floridus L. var. floridus ,eastern sweetshrub
CAFLG,Calycanthus floridus L. var. glaucus (Willd.) Torr. & A. Gray,eastern sweetshrub
CALY2,Calycocarpum lyonii (Pursh) A. Gray,cupseed
CACO72,Calydorea coelestina (W. Bartram) Goldblatt & Henrich,Bartram's ixia
CAVI2,Calyptocarpus vialis Less.,straggler daisy
CACA101,Calystegia catesbeiana Pursh,Catesby's false bindweed
CAMA23,Calystegia macounii (Greene) Brummitt,Macoun's false bindweed
CASE13,Calystegia sepium (L.) R. Br.,hedge false bindweed
CASEA2,Calystegia sepium (L.) R. Br. ssp. americana (Sims) Brummitt,hedge false bindweed
CASEA3,Calystegia sepium (L.) R. Br. ssp. angulata Brummitt,hedge false bindweed
CASEL,Calystegia sepium (L.) R. Br. ssp. limnophila (Greene) Brummitt,hedge false bindweed
CASES,Calystegia sepium (L.) R. Br. ssp. sepium ,hedge false bindweed
CASI10,Calystegia silvatica (Kit.) Griseb.,shortstalk false bindweed
CASIF,Calystegia silvatica (Kit.) Griseb. ssp. fraterniflora (Mack. & Bush) Brummitt,shortstalk false bindweed
CASP14,Calystegia spithamaea (L.) Pursh,low false bindweed
CASPP,Calystegia spithamaea (L.) Pursh ssp. purshiana (Wherry) Brummitt,low false bindweed
CASC5,Camassia scilloides (Raf.) Cory,Atlantic camas
CAMI2,Camelina microcarpa Andrz. ex DC.,littlepod false flax
CAJA9,Camellia japonica L.,camellia
CASA26,Camellia sasanqua Thunb.,Sasanqua camellia
CASI16,Camellia sinensis (L.) Kuntze,tea
CAAP2,Campanula aparinoides Pursh,marsh bellflower
CADI3,Campanula divaricata Michx.,small bonny bellflower
CAAM18,Campanulastrum americanum (L.) Small,American bellflower
CARA2,Campsis radicans (L.) Seem. ex Bureau,trumpet creeper
CAEN4,Canavalia ensiformis (L.) DC.,jack bean
CAGE3,Canna ×generalis L.H. Bailey (pro sp.) [glauca × indica],canna lily
CAFL11,Canna flaccida Salisb.,bandanna of the Everglades
CAIN19,Canna indica L.,Indian shot
CASA3,Cannabis sativa L.,marijuana
CASAS3,Cannabis sativa L. ssp. sativa ,marijuana
CASAS9,Cannabis sativa L. ssp. sativa var. sativa ,marijuana
CABU2,Capsella bursa-pastoris (L.) Medik.,shepherd's purse
CAAN4,Capsicum annuum L.,cayenne pepper
CAANA4,Capsicum annuum L. var. annuum ,cayenne pepper
CAAN11,Cardamine angustata O.E. Schulz,slender toothwort
CABU3,"Cardamine bulbosa (Schreb. ex Muhl.) Britton, Sterns & Poggenb.",bulbous bittercress
CACO26,Cardamine concatenata (Michx.) Sw.,cutleaf toothwort
CADI10,Cardamine diphylla (Michx.) Alph. Wood,crinkleroot
CADI28,Cardamine dissecta (Leavenworth) Al-Shehbaz,forkleaf toothwort
CAFL13,Cardamine flagellifera O.E. Schulz,Blue Ridge bittercress
CAFLF6,Cardamine flagellifera O.E. Schulz var. flagellifera ,Blue Ridge bittercress
CAFL14,Cardamine flexuosa With.,woodland bittercress
CAHI3,Cardamine hirsuta L.,hairy bittercress
CAPA12,Cardamine parviflora L.,sand bittercress
CAPAA2,Cardamine parviflora L. var. arenicola (Britton) O.E. Schulz,sand bittercress
CAPE3,Cardamine pensylvanica Muhl. ex Willd.,Pennsylvania bittercress
CAHA13,Cardiospermum halicacabum L.,balloon vine
CANU4,Carduus nutans L.,nodding plumeless thistle
CAAE3,Carex ×aestivaliformis Mack. [aestivalis × gracillima],sedge
CAAB5,Carex abscondita Mack.,thicket sedge
CAAC20,Carex acidicola Naczi,acid-loving sedge
CAAE2,Carex aestivalis M.A. Curtis ex A. Gray,summer sedge
CAAL3,Carex alata Torr.,broadwing sedge
CAAL25,Carex albicans Willd. ex Spreng.,whitetinge sedge
CAALA,Carex albicans Willd. ex Spreng. var. albicans ,whitetinge sedge
CAALA2,Carex albicans Willd. ex Spreng. var. australis (L.H. Bailey) J. Rettig,stellate sedge
CAAL5,Carex albolutescens Schwein.,greenwhite sedge
CAAL11,Carex albursina Sheldon,white bear sedge
CAAM8,Carex amphibola Steud.,eastern narrowleaf sedge
CAAN6,Carex annectens (E.P. Bicknell) E.P. Bicknell,yellowfruit sedge
CAAP5,Carex appalachica J. Webber & P.W. Ball,Appalachian sedge
CAAT4,Carex atlantica L.H. Bailey,prickly bog sedge
CAATA2,Carex atlantica L.H. Bailey ssp. atlantica ,prickly bog sedge
CAATC,Carex atlantica L.H. Bailey ssp. capillacea (L.H. Bailey) Reznicek,prickly bog sedge
CAAU4,Carex aureolensis Steud.,goldenfruit sedge
CAAU7,Carex austrocaroliniana L.H. Bailey,tarheel sedge
CAAU24,"Carex austrodeflexa P.D. McMillan, Sorrie & van Eerden",canebrake sedge
CABA8,Carex baltzellii Chapm. ex Dewey,Baltzell's sedge
CABA9,Carex barrattii Schwein. & Torr.,Barratt's sedge
CABA24,Carex basiantha Steud.,Willdenow's sedge
CABI9,Carex biltmoreana Mack.,stiff sedge
CABL,Carex blanda Dewey,eastern woodland sedge
CABR14,Carex bromoides Schkuhr ex Willd.,brome-like sedge
CABRB6,Carex bromoides Schkuhr ex Willd. ssp. bromoides ,brome-like sedge
CABR15,Carex brunnescens (Pers.) Poir.,brownish sedge
CABRS,Carex brunnescens (Pers.) Poir. ssp. sphaerostachya (Tuck.) Kalela,brownish sedge
CABU7,Carex bullata Schkuhr ex Willd.,button sedge
CABU5,Carex bushii Mack.,Bush's sedge
CABU6,Carex buxbaumii Wahlenb.,Buxbaum's sedge
CACA24,Carex calcifugens Naczi,calcium-hating sedge
CACA14,Carex careyana Torr. ex Dewey,Carey's sedge
CACA15,Carex caroliniana Schwein.,Carolina sedge
CACE,Carex cephalophora Muhl. ex Willd.,oval-leaf sedge
CACH9,Carex chapmanii Steud.,Chapman's sedge
CACH3,Carex cherokeensis Schwein.,Cherokee sedge
CACO21,Carex collinsii Nutt.,Collins' sedge
CACO7,Carex communis L.H. Bailey,fibrousroot sedge
CACOA2,Carex communis L.H. Bailey var. amplisquama (F.J. Herm.) J. Rettig,Dixie sedge
CACOC4,Carex communis L.H. Bailey var. communis ,fibrousroot sedge
CACO8,Carex comosa Boott,longhair sedge
CACO9,Carex complanata Torr. & Hook.,hirsute sedge
CACO22,Carex corrugata Fernald,prune-fruit sedge
CACR3,Carex crawei Dewey,Crawe's sedge
CACR5,Carex crebriflora Wiegand,coastal plain sedge
CACR6,Carex crinita Lam.,fringed sedge
CACRB,Carex crinita Lam. var. brevicrinis Fernald,fringed sedge
CACRC2,Carex crinita Lam. var. crinita ,fringed sedge
CACR8,Carex crus-corvi Shuttlw. ex Kunze,ravenfoot sedge
CACU26,"Carex cumberlandensis Naczi, Kral & Bryson",Cumberland sedge
CADA3,Carex dasycarpa Muhl.,sandywoods sedge
CADE5,Carex debilis Michx.,white edge sedge
CADED,Carex debilis Michx. var. debilis ,white edge sedge
CADEP,Carex debilis Michx. var. pubera A. Gray,white edge sedge
CADER,Carex debilis Michx. var. rudgei L.H. Bailey,white edge sedge
CADE6,Carex decomposita Muhl.,cypressknee sedge
CADI5,Carex digitalis Willd.,slender woodland sedge
CADID2,Carex digitalis Willd. var. digitalis ,slender woodland sedge
CADIF,Carex digitalis Willd. var. floridana (L.H. Bailey) Naczi & Bryson,slender woodland sedge
CADIM,Carex digitalis Willd. var. macropoda Fernald,slender woodland sedge
CAEB2,Carex eburnea Boott,bristleleaf sedge
CAEL9,Carex elliottii Schwein. & Torr.,Elliott's sedge
CAFE3,Carex festucacea Schkuhr ex Willd.,fescue sedge
CAFI5,Carex fissa Mack.,hammock sedge
CAFIA,Carex fissa Mack. var. aristata F.J. Herm.,hammock sedge
CAFL3,Carex flaccosperma Dewey,thinfruit sedge
CAFL5,Carex floridana Schwein.,Florida sedge
CAFO6,Carex folliculata L.,northern long sedge
CAFR3,Carex frankii Kunth,Frank's sedge
CAGH,Carex gholsonii Naczi & Cochrane,Gholson's sedge
CAGI4,Carex gigantea Rudge,giant sedge
CAGL5,Carex glaucescens Elliott,southern waxy sedge
CAGO3,Carex godfreyi Naczi,Godfrey's sedge
CAGR8,Carex gracilescens Steud.,slender looseflower sedge
CAGR2,Carex gracillima Schwein.,graceful sedge
CAGR3,Carex granularis Muhl. ex Willd.,limestone meadow sedge
CAGR4,Carex gravida L.H. Bailey,heavy sedge
CAGRL,Carex gravida L.H. Bailey var. lunelliana (Mack.) F.J. Herm.,heavy sedge
CAGR5,Carex grayi Carey,Gray's sedge
CAGY4,Carex gynandra Schwein.,nodding sedge
CAHI6,Carex hirsutella Mack.,fuzzy wuzzy sedge
CAHY3,Carex hyalinolepis Steud.,shoreline sedge
CAHY4,Carex hystericina Muhl. ex Willd.,bottlebrush sedge
CAIN12,Carex intumescens Rudge,greater bladder sedge
CAJO2,Carex joorii L.H. Bailey,cypress swamp sedge
CAKR5,Carex kraliana Naczi & Bryson,Kral's sedge
CALA14,Carex laevivaginata (Kük.) Mack.,smoothsheath sedge
CALA18,Carex laxiculmis Schwein.,spreading sedge
CALAL4,Carex laxiculmis Schwein. var. laxiculmis ,spreading sedge
CALA19,Carex laxiflora Lam.,broad looseflower sedge
CALAL5,Carex laxiflora Lam. var. laxiflora ,broad looseflower sedge
CALAS,Carex laxiflora Lam. var. serrulata F.J. Herm.,broad looseflower sedge
CALE6,Carex leavenworthii Dewey,Leavenworth's sedge
CALE10,Carex leptalea Wahlenb.,bristlystalked sedge
CALEH,Carex leptalea Wahlenb. ssp. harperi (Fernald) W. Stone,Harper's sedge
CALO9,Carex lonchocarpa Willd.,southern long sedge
CALO5,Carex longii Mack.,Long's sedge
CALO6,Carex louisianica L.H. Bailey,Louisiana sedge
CALU17,Carex lucorum Willd. ex Link,Blue Ridge sedge
CALUA2,Carex lucorum Willd. ex Link var. austrolucorum J. Rettig,Blue Ridge sedge
CALU3,Carex lupuliformis Sartwell ex Dewey,false hop sedge
CALU4,Carex lupulina Muhl. ex Willd.,hop sedge
CALU5,Carex lurida Wahlenb.,shallow sedge
CAMA33,Carex manhartii Bryson,Manhart's sedge
CAME2,Carex meadii Dewey,Mead's sedge
CAME13,Carex mesochorea Mack.,midland sedge
CAMI17,Carex misera Buckley,wretched sedge
CAMI18,Carex mitchelliana M.A. Curtis,Mitchell's sedge
CAMU4,Carex muehlenbergii Schkuhr ex Willd.,Muhlenberg's sedge
CAMUE,Carex muehlenbergii Schkuhr ex Willd. var. enervis Boott,Muhlenberg's sedge
CAMUM,Carex muehlenbergii Schkuhr ex Willd. var. muehlenbergii ,Muhlenberg's sedge
CANI3,Carex nigromarginata Schwein.,black edge sedge
CANO,Carex normalis Mack.,greater straw sedge
CAOL2,Carex oligocarpa Schkuhr ex Willd.,richwoods sedge
CAOX,Carex oxylepis Torr. & Hook.,sharpscale sedge
CAOXO,Carex oxylepis Torr. & Hook. var. oxylepis ,sharpscale sedge
CAPE4,Carex pedunculata Muhl. ex Willd.,longstalk sedge
CAPE6,Carex pensylvanica Lam.,Pennsylvania sedge
CAPI5,Carex picta Steud.,Boott's sedge
CAPI21,Carex pigra Naczi,tarheel sedge
CAPL18,Carex planispicata Naczi,flat-spiked sedge
CAPL4,Carex plantaginea Lam.,plantainleaf sedge
